MATCH_ID,TOURNAMENT,YEAR,PLAYER1,PLAYER1_ID,PLAYER2,PLAYER2_ID,WINNER,P2ACE,P1NETPOINTWON,P1BREAKPOINTWON,P1ACE,P1FIRSTSRVWON,P1FIRSTSRVIN,P2UNFERR,P1DOUBLEFAULT,P2NETPOINT,P1FORCEDERROR,P2BREAKPOINTMISSED,P2NETPOINTWON,P2DOUBLEFAULT,P2SECONDSRVIN,P2FIRSTSRVIN,P2SECONDSRVWON,P2WINNER,P2BREAKPOINTWON,P1SECONDSRVIN,P1WINNER,P2GAMESWON,P2BREAKPOINT,P2FORCEDERROR,P1GAMESWON,P1NETPOINT,P1BREAKPOINTMISSED,P1UNFERR,P2FIRSTSRVWON,P1BREAKPOINT,P1SECONDSRVWON,PLAYER1_WON_SETS,PLAYER2_WON_SETS
2011-ausopen-1401,AUS_OPEN,2011,Rafael Nadal,atpn409,Marin Cilic,atpc977,1,8,16,5,3,49,62,48,3,22,29,2,15,4,41,55,15,32,0,20,26,314,2,29,460,17,9,21,42,14,11,3,0
2011-ausopen-1402,AUS_OPEN,2011,Milos Raonic,atpr975,David Ferrer,atpf401,2,3,40,2,15,51,78,10,2,17,40,9,16,1,32,80,18,23,5,47,57,633,14,42,440,65,7,68,62,9,25,1,3
2011-ausopen-1403,AUS_OPEN,2011,Robin Soderling,atpsa49,Alexandr Dolgopolov,atpd801,2,11,14,6,6,51,86,23,6,18,31,8,12,2,50,53,23,50,9,46,34,443,17,54,467,22,3,51,42,9,20,2,3
2011-ausopen-1404,AUS_OPEN,2011,Jurgen Melzer,atpm762,Andy Murray,atpmc10,2,13,19,1,1,24,47,10,1,19,33,7,13,3,27,40,17,30,7,24,21,356,14,21,126,33,7,27,33,8,8,0,3
2011-ausopen-1405,AUS_OPEN,2011,Tomas Berdych,atpba47,Fernando Verdasco,atpv306,1,10,7,5,11,38,43,39,1,9,22,0,7,4,30,45,15,26,1,22,32,199,1,17,415,8,8,9,31,13,17,3,0
2011-ausopen-1406,AUS_OPEN,2011,Nicolas Almagro,atpa479,Novak Djokovic,atpd643,2,12,5,0,5,28,46,17,2,11,27,8,9,4,15,56,9,31,5,30,15,373,13,28,155,10,3,35,48,3,14,0,3
2011-ausopen-1407,AUS_OPEN,2011,Andy Roddick,atpr485,Stanislas Wawrinka,atpw367,2,24,28,0,9,50,68,19,4,24,20,10,21,2,38,39,26,67,3,40,24,509,13,42,404,43,3,19,36,3,18,0,3
2011-ausopen-1408,AUS_OPEN,2011,Tommy Robredo,atpr419,Roger Federer,atpf324,2,10,15,1,6,49,68,40,1,50,46,6,36,1,32,72,20,50,4,40,28,532,10,29,327,26,1,21,57,2,20,1,3
2011-ausopen-1501,AUS_OPEN,2011,Rafael Nadal,atpn409,David Ferrer,atpf401,2,8,17,3,2,38,69,32,1,25,24,8,19,2,21,50,13,44,7,34,19,497,15,24,228,23,6,34,36,9,13,0,3
2011-ausopen-1502,AUS_OPEN,2011,Alexandr Dolgopolov,atpd801,Andy Murray,atpmc10,2,9,26,4,16,65,92,34,5,22,42,11,15,5,44,69,30,33,7,61,57,974,18,33,624,44,1,77,52,5,23,1,3
2011-ausopen-1503,AUS_OPEN,2011,Tomas Berdych,atpba47,Novak Djokovic,atpd643,2,10,9,1,5,36,51,21,5,12,41,5,9,1,28,62,12,34,5,40,29,496,10,30,417,19,1,32,51,2,16,0,3
2011-ausopen-1504,AUS_OPEN,2011,Stanislas Wawrinka,atpw367,Roger Federer,atpf324,2,5,13,0,1,27,47,24,0,38,31,2,24,0,17,58,13,29,5,34,21,459,7,21,216,27,1,30,42,1,19,0,3
2011-ausopen-1601,AUS_OPEN,2011,David Ferrer,atpf401,Andy Murray,atpmc10,2,9,30,5,5,57,95,63,2,56,58,5,40,3,57,91,22,60,6,45,34,853,11,44,759,43,13,34,68,18,23,1,3
2011-ausopen-1602,AUS_OPEN,2011,Novak Djokovic,atpd643,Roger Federer,atpf324,1,5,16,5,6,63,86,44,5,26,41,7,17,0,42,63,20,35,3,34,29,623,10,46,638,26,9,35,45,14,16,3,0
